id,account_id,symbol,direction,open_time,close_time,open_price,close_price,volume,stop_loss,take_profit,commission,swap,profit,status
POS001,ACC001,EURUSD,long,2023-01-01T10:00:00Z,2023-01-01T15:30:00Z,1.0750,1.0775,0.1,1.0700,1.0800,0.5,0.1,25.0,closed
POS002,ACC001,GBPUSD,short,2023-01-01T11:15:00Z,2023-01-01T16:45:00Z,1.2550,1.2525,0.2,1.2600,1.2500,0.8,0.2,50.0,closed
POS003,ACC001,USDJPY,long,2023-01-02T09:30:00Z,,135.50,,0.1,135.00,136.00,0.5,0.1,,open
POS004,ACC002,EURUSD,short,2023-01-02T10:45:00Z,,1.0820,,0.3,1.0870,1.0770,1.2,0.3,,open
POS005,ACC003,XAUUSD,long,2023-01-02T14:00:00Z,2023-01-03T11:30:00Z,1850.25,1865.50,0.05,1840.00,1870.00,2.5,0.5,75.0,closed
POS006,ACC003,BTCUSD,long,2023-01-03T08:15:00Z,,42500.00,,0.01,41000.00,44000.00,5.0,1.0,,open
POS007,ACC005,EURUSD,long,2023-01-03T09:30:00Z,,1.0840,,1.0,1.0790,1.0890,4.0,2.0,,open
POS008,ACC005,GBPUSD,short,2023-01-03T10:45:00Z,,1.2580,,0.5,1.2630,1.2530,2.0,1.0,,open
POS009,ACC005,USDJPY,short,2023-01-03T11:30:00Z,2023-01-03T16:15:00Z,136.25,135.80,0.8,136.75,135.75,3.2,1.6,360.0,closed
POS010,ACC005,XAUUSD,long,2023-01-03T13:00:00Z,,1855.75,,0.2,1845.00,1875.00,10.0,5.0,,open
